Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	WOOD	WOOD1	WOOD2	WOOD3	WOOD4	WOOD5	WOOD6	WOOD7	WOOD8	WOOD9	WOOD10	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	Biomass_power_only	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	TRUCK_ELEC	NON_ENERGY_NG	NON_ENERGY_OIL	EFFICIENCY	DHN	GRID	MOTORWAYS	ROADS	RAILWAYS	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	METHANE_TO_METHANOL	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	SLF_biomass_gasif	SLF_biomass_gasif_H2	SLF_pyrolysis_upgrade_2	SLF_pyrolysis_upgrade_2b	Cellulosic_ethanol	GASIFICATION_SNG_H2	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	END_USE	
 1 	 1																																																																																								0.570036																																																																															-0.570036	
 1 	 2																																																																																								0.228015																																																																															-0.228015	
 1 	 3																																																																																								0.114007																																																																															-0.114007	
 1 	 4																																																																																								1.368089																																																																															-1.368089	
 1 	 5																																																																																								3.648235																																																																															-3.648235	
 1 	 6																																																																																								9.120582																																																																															-9.120582	
 1 	 7																																																																																								17.671108																																																																															-17.671108	
 1 	 8																																																																																								15.390943																																																																															-15.390943	
 1 	 9																																																																																								14.250909																																																																															-14.250909	
 1 	 10																																																																																								15.961057																																																																															-15.961057	
 1 	 11																																																																																								18.241125																																																																															-18.241125	
 1 	 12																																																																																								20.065296																																																																															-20.065296	
 1 	 13																																																																																								18.241125																																																																															-18.241125	
 1 	 14																																																																																								18.469171																																																																															-18.469171	
 1 	 15																																																																																								20.749336																																																																															-20.749336	
 1 	 16																																																																																								21.661421																																																																															-21.661421	
 1 	 17																																																																																								21.661421																																																																															-21.661421	
 1 	 18																																																																																								15.961057																																																																															-15.961057	
 1 	 19																																																																																								11.400728																																																																															-11.400728	
 1 	 20																																																																																								8.550546																																																																															-8.550546	
 1 	 21																																																																																								5.700364																																																																															-5.700364	
 1 	 22																																																																																								3.648235																																																																															-3.648235	
 1 	 23																																																																																								2.280146																																																																															-2.280146	
 1 	 24																																																																																								0.912058																																																																															-0.912058	
 2 	 1																																																																																								0.570036																																																																															-0.570036	
 2 	 2																																																																																								0.228015																																																																															-0.228015	
 2 	 3																																																																																								0.114007																																																																															-0.114007	
 2 	 4																																																																																								1.368089																																																																															-1.368089	
 2 	 5																																																																																								3.648235																																																																															-3.648235	
 2 	 6																																																																																								9.120582																																																																															-9.120582	
 2 	 7																																																																																								17.671108																																																																															-17.671108	
 2 	 8																																																																																								15.390943																																																																															-15.390943	
 2 	 9																																																																																								14.250909																																																																															-14.250909	
 2 	 10																																																																																								15.961057																																																																															-15.961057	
 2 	 11																																																																																								18.241125																																																																															-18.241125	
 2 	 12																																																																																								20.065296																																																																															-20.065296	
 2 	 13																																																																																								18.241125																																																																															-18.241125	
 2 	 14																																																																																								18.469171																																																																															-18.469171	
 2 	 15																																																																																								20.749336																																																																															-20.749336	
 2 	 16																																																																																								21.661421																																																																															-21.661421	
 2 	 17																																																																																								21.661421																																																																															-21.661421	
 2 	 18																																																																																								15.961057																																																																															-15.961057	
 2 	 19																																																																																								11.400728																																																																															-11.400728	
 2 	 20																																																																																								8.550546																																																																															-8.550546	
 2 	 21																																																																																								5.700364																																																																															-5.700364	
 2 	 22																																																																																								3.648235																																																																															-3.648235	
 2 	 23																																																																																								2.280146																																																																															-2.280146	
 2 	 24																																																																																								0.912058																																																																															-0.912058	
 3 	 1																																																																																								0.570036																																																																															-0.570036	
 3 	 2																																																																																								0.228015																																																																															-0.228015	
 3 	 3																																																																																								0.114007																																																																															-0.114007	
 3 	 4																																																																																								1.368089																																																																															-1.368089	
 3 	 5																																																																																								3.648235																																																																															-3.648235	
 3 	 6																																																																																								9.120582																																																																															-9.120582	
 3 	 7																																																																																								17.671108																																																																															-17.671108	
 3 	 8																																																																																								15.390943																																																																															-15.390943	
 3 	 9																																																																																								14.250909																																																																															-14.250909	
 3 	 10																																																																																								15.961057																																																																															-15.961057	
 3 	 11																																																																																								18.241125																																																																															-18.241125	
 3 	 12																																																																																								20.065296																																																																															-20.065296	
 3 	 13																																																																																								18.241125																																																																															-18.241125	
 3 	 14																																																																																								18.469171																																																																															-18.469171	
 3 	 15																																																																																								20.749336																																																																															-20.749336	
 3 	 16																																																																																								21.661421																																																																															-21.661421	
 3 	 17																																																																																								21.661421																																																																															-21.661421	
 3 	 18																																																																																								15.961057																																																																															-15.961057	
 3 	 19																																																																																								11.400728																																																																															-11.400728	
 3 	 20																																																																																								8.550546																																																																															-8.550546	
 3 	 21																																																																																								5.700364																																																																															-5.700364	
 3 	 22																																																																																								3.648235																																																																															-3.648235	
 3 	 23																																																																																								2.280146																																																																															-2.280146	
 3 	 24																																																																																								0.912058																																																																															-0.912058	
 4 	 1																																																																																								0.570036																																																																															-0.570036	
 4 	 2																																																																																								0.228015																																																																															-0.228015	
 4 	 3																																																																																								0.114007																																																																															-0.114007	
 4 	 4																																																																																								1.368089																																																																															-1.368089	
 4 	 5																																																																																								3.648235																																																																															-3.648235	
 4 	 6																																																																																								9.120582																																																																															-9.120582	
 4 	 7																																																																																								17.671108																																																																															-17.671108	
 4 	 8																																																																																								15.390943																																																																															-15.390943	
 4 	 9																																																																																								14.250909																																																																															-14.250909	
 4 	 10																																																																																								15.961057																																																																															-15.961057	
 4 	 11																																																																																								18.241125																																																																															-18.241125	
 4 	 12																																																																																								20.065296																																																																															-20.065296	
 4 	 13																																																																																								18.241125																																																																															-18.241125	
 4 	 14																																																																																								18.469171																																																																															-18.469171	
 4 	 15																																																																																								20.749336																																																																															-20.749336	
 4 	 16																																																																																								21.661421																																																																															-21.661421	
 4 	 17																																																																																								21.661421																																																																															-21.661421	
 4 	 18																																																																																								15.961057																																																																															-15.961057	
 4 	 19																																																																																								11.400728																																																																															-11.400728	
 4 	 20																																																																																								8.550546																																																																															-8.550546	
 4 	 21																																																																																								5.700364																																																																															-5.700364	
